Title,Publication Date,Pages,Articles,Largeur,Hauteur,Mots Page 1,Blocs Page 1,Table Page 1,Publicite Page 1,Illustrations Page 1,Mots Page 2,Blocs Page 2,Table Page 2,Publicite Page 2,Illustrations Page 2,Mots Page 3,Blocs Page 3,Table Page 3,Publicite Page 3,Illustrations Page 3,Mots Page 4,Blocs Page 4,Table Page 4,Publicite Page 4,Illustrations Page 4,Mots Page 5,Blocs Page 5,Table Page 5,Publicite Page 5,Illustrations Page 5,Mots Page 6,Blocs Page 6,Table Page 6,Publicite Page 6,Illustrations Page 6
Le Gaulois,14.10.1868,4,54,453,623,4291,36,0,2,0,5824,54,0,0,0,5797,43,0,3,0,3066,15,5,5,0,,,,,,,,,,
Le Gaulois,15.10.1868,4,50,452,623,4387,30,0,2,0,5887,47,0,0,0,5711,50,0,1,0,3661,53,0,19,0,,,,,,,,,,
Le Gaulois,16.10.1868,4,60,453,624,4149,31,0,2,0,5787,53,0,0,0,5750,52,0,0,0,4719,30,5,8,0,,,,,,,,,,
Le Gaulois,17.10.1868,4,53,454,626,2212,58,0,2,24,5637,44,0,0,0,5829,46,0,0,0,5021,49,0,9,0,,,,,,,,,,
Le Gaulois,18.10.1868,4,64,462,625,4594,43,0,2,0,5548,49,0,0,0,6201,29,0,2,0,4144,40,0,7,0,,,,,,,,,,
Le Gaulois,19.10.1868,4,66,457,619,4367,41,0,2,0,5578,69,0,0,0,5813,54,0,1,0,4155,50,0,9,0,,,,,,,,,,
Le Gaulois,20.10.1868,4,84,457,624,4699,43,0,2,0,5675,62,0,0,0,5828,45,0,2,0,4316,64,0,19,0,,,,,,,,,,
Le Gaulois,21.10.1868,4,62,455,626,4337,39,0,2,0,5682,49,0,0,0,5985,26,0,1,0,3627,41,4,22,0,,,,,,,,,,
Le Gaulois,22.10.1868,4,80,456,630,4558,32,0,2,0,5320,38,0,0,0,5866,48,0,1,0,4468,85,0,18,0,,,,,,,,,,
Le Gaulois,23.10.1868,4,40,453,627,4313,43,0,2,0,5223,50,0,0,0,5685,52,0,3,0,2659,20,4,13,0,,,,,,,,,,
Le Gaulois,24.10.1868,4,71,453,623,4403,32,0,2,0,5297,43,0,0,0,5873,51,0,0,0,3658,64,0,22,0,,,,,,,,,,
Le Gaulois,25.10.1868,4,43,452,625,4466,36,0,2,0,5441,62,0,0,0,5588,32,5,2,0,1589,7,0,6,0,,,,,,,,,,
Le Gaulois,26.10.1868,4,52,452,625,4484,37,0,2,0,5432,49,0,0,0,5585,64,0,2,0,1037,2,0,2,0,,,,,,,,,,
Le Gaulois,27.10.1868,4,69,452,624,4555,32,0,2,0,6175,38,0,0,0,6054,48,0,0,0,3940,25,0,9,0,,,,,,,,,,
Le Gaulois,28.10.1868,4,49,452,624,4339,36,1,2,0,5641,38,0,0,0,5613,49,0,1,0,3510,18,0,6,0,,,,,,,,,,
Le Gaulois,29.10.1868,4,63,451,624,4463,30,0,3,0,5369,53,0,0,0,5904,45,0,1,0,4006,40,0,12,0,,,,,,,,,,
Le Gaulois,30.10.1868,4,51,456,625,4314,46,0,3,0,5460,49,0,0,0,5822,53,0,1,0,2654,12,0,1,0,,,,,,,,,,
Le Gaulois,31.10.1868,4,44,452,629,4558,35,0,2,0,5585,56,0,0,0,5616,58,0,3,0,2686,15,0,3,0,,,,,,,,,,
Le Gaulois,01.11.1868,4,36,451,624,4772,33,0,2,0,5623,73,0,0,0,6035,46,0,0,0,3085,1,0,1,0,,,,,,,,,,
Le Gaulois,02.11.1868,4,50,456,624,4427,39,0,2,0,6150,39,0,0,0,5773,47,0,1,0,3473,16,0,1,0,,,,,,,,,,
Le Gaulois,03.11.1868,4,40,451,624,4776,39,0,2,0,6182,54,0,0,0,5697,33,0,3,0,2826,1,0,1,0,,,,,,,,,,
Le Gaulois,04.11.1868,4,60,451,624,4513,30,0,2,0,5529,61,0,0,0,5963,45,1,2,0,4080,14,1,7,0,,,,,,,,,,
Le Gaulois,05.11.1868,4,47,451,625,4696,28,0,2,0,5229,44,0,0,0,6210,53,0,0,0,4131,26,0,8,0,,,,,,,,,,
Le Gaulois,06.11.1868,4,61,452,624,4514,50,0,2,0,5509,67,0,0,0,5782,45,0,6,0,3879,35,0,10,0,,,,,,,,,,
Le Gaulois,07.11.1868,4,49,451,624,4463,43,0,2,0,5504,45,0,0,0,5862,42,0,0,0,4088,23,1,2,0,,,,,,,,,,
Le Gaulois,08.11.1868,4,53,453,616,4418,55,0,3,0,5642,50,0,0,0,6081,37,1,2,0,1517,9,0,7,0,,,,,,,,,,
Le Gaulois,09.11.1868,4,68,447,625,4307,34,0,2,0,5433,66,0,0,0,5154,76,0,6,0,3307,11,0,9,0,,,,,,,,,,
Le Gaulois,10.11.1868,4,54,449,623,4569,34,0,2,0,5598,52,0,0,0,5730,54,0,2,0,4003,28,2,15,0,,,,,,,,,,
Le Gaulois,11.11.1868,4,36,458,628,4691,55,0,3,0,5666,52,0,0,0,5120,48,0,5,0,1394,7,0,6,0,,,,,,,,,,
Le Gaulois,12.11.1868,4,36,449,627,4977,37,0,2,0,5659,49,0,0,0,5480,48,0,6,0,3502,21,0,8,0,,,,,,,,,,
Le Gaulois,13.11.1868,4,71,449,622,4275,50,0,2,0,5806,43,1,0,0,6308,35,0,1,0,4540,31,0,6,0,,,,,,,,,,
Le Gaulois,14.11.1868,4,60,451,620,4321,39,0,2,0,5296,54,0,0,1,6208,46,0,2,0,4206,20,0,7,0,,,,,,,,,,
Le Gaulois,15.11.1868,4,53,451,623,4810,54,0,2,0,5668,37,0,0,0,6176,42,0,0,0,3925,42,0,8,0,,,,,,,,,,
Le Gaulois,16.11.1868,4,44,452,624,4569,32,0,2,0,5760,71,0,0,0,6905,33,0,2,0,1090,2,0,1,0,,,,,,,,,,
Le Gaulois,17.11.1868,4,45,452,626,4855,33,0,2,0,5482,60,0,0,0,5759,49,0,2,0,1893,18,0,16,0,,,,,,,,,,
Le Gaulois,18.11.1868,4,31,452,623,4563,45,0,3,0,6728,36,0,0,0,6625,35,0,6,0,2672,13,0,12,0,,,,,,,,,,
Le Gaulois,19.11.1868,4,52,452,627,4477,59,0,2,0,5627,54,0,0,0,5756,45,0,8,0,4165,27,0,5,1,,,,,,,,,,
Le Gaulois,20.11.1868,4,48,453,623,4488,49,0,2,0,5679,56,1,0,0,6134,46,0,1,0,3868,25,1,12,0,,,,,,,,,,
Le Gaulois,21.11.1868,4,63,456,630,4532,49,0,3,0,5672,53,0,0,0,6019,37,0,3,0,4456,30,0,6,0,,,,,,,,,,
Le Gaulois,22.11.1868,4,56,454,626,4270,43,0,2,0,6329,46,0,0,0,5953,52,0,3,0,353,1,0,1,0,,,,,,,,,,
Le Gaulois,23.11.1868,4,47,457,628,4482,53,0,2,0,5763,48,0,0,0,6106,83,0,0,0,3472,14,0,5,0,,,,,,,,,,
Le Gaulois,24.11.1868,4,36,451,624,4318,36,0,2,0,5502,61,1,0,0,5908,50,0,1,0,3668,46,0,11,0,,,,,,,,,,
Le Gaulois,25.11.1868,4,53,450,623,4405,26,0,2,0,5189,66,0,0,0,6374,41,0,2,0,3776,26,1,12,0,,,,,,,,,,
Le Gaulois,26.11.1868,4,45,452,624,4333,44,0,2,0,5703,47,0,0,0,6291,47,0,0,0,2950,8,0,7,0,,,,,,,,,,
Le Gaulois,27.11.1868,4,46,450,625,4688,34,0,4,0,5592,53,0,0,0,6327,41,0,4,0,4763,14,1,10,0,,,,,,,,,,
Le Gaulois,28.11.1868,4,53,452,623,4430,50,0,2,1,5533,53,0,1,0,6642,50,0,2,0,4258,27,0,6,0,,,,,,,,,,
Le Gaulois,29.11.1868,4,41,453,624,4947,45,0,2,0,6103,57,0,0,0,4144,45,1,6,0,3317,4,0,3,0,,,,,,,,,,
Le Gaulois,30.11.1868,4,35,454,625,5139,32,0,4,0,5829,55,0,0,0,5509,42,0,2,0,2906,10,0,8,0,,,,,,,,,,
Le Gaulois,01.12.1868,4,39,454,623,5063,27,0,2,0,5669,55,0,0,0,6282,44,0,2,0,3715,43,0,16,0,,,,,,,,,,
Le Gaulois,02.12.1868,4,46,454,620,4590,36,0,2,0,5507,64,0,0,0,6110,46,0,1,0,4428,23,0,2,0,,,,,,,,,,
Le Gaulois,03.12.1868,4,43,453,623,4872,38,0,2,0,5577,60,0,0,0,5326,67,0,2,0,1489,9,0,8,0,,,,,,,,,,
Le Gaulois,04.12.1868,4,61,449,623,4462,43,0,2,0,5651,52,0,0,0,6143,76,0,1,0,3207,16,0,14,0,,,,,,,,,,
Le Gaulois,05.12.1868,4,38,447,628,4502,30,0,2,0,5838,59,0,0,0,7358,29,1,3,0,2067,17,0,16,0,,,,,,,,,,
Le Gaulois,06.12.1868,4,47,452,627,4661,45,0,2,0,6828,33,0,0,0,5983,71,0,8,0,1673,8,0,6,0,,,,,,,,,,
Le Gaulois,07.12.1868,4,57,455,622,4561,41,0,2,0,7059,44,0,0,0,6349,53,0,2,0,3036,15,0,13,0,,,,,,,,,,
Le Gaulois,08.12.1868,4,50,451,623,4514,32,0,3,0,6204,44,0,0,0,6156,52,2,5,0,2758,29,0,3,0,,,,,,,,,,
Le Gaulois,09.12.1868,4,39,453,623,4598,36,0,2,0,6126,39,0,0,0,6381,45,3,1,0,2973,9,0,7,0,,,,,,,,,,
Le Gaulois,10.12.1868,4,42,451,623,4580,38,0,2,0,5698,42,0,0,0,6104,50,0,1,0,2789,25,0,23,0,,,,,,,,,,
Le Gaulois,11.12.1868,4,50,455,624,4824,42,0,2,0,6021,32,0,0,0,6326,45,0,2,0,4310,17,1,10,0,,,,,,,,,,
Le Gaulois,12.12.1868,4,45,453,625,4721,43,0,3,0,6175,59,0,2,0,5039,38,0,0,0,3186,12,0,10,0,,,,,,,,,,
Le Gaulois,13.12.1868,4,48,454,624,5127,36,0,2,0,6052,36,0,0,0,5593,53,0,9,0,614,3,0,1,0,,,,,,,,,,
Le Gaulois,14.12.1868,4,46,450,627,4378,41,0,3,0,5576,44,0,0,0,5843,48,0,2,0,2553,9,0,7,0,,,,,,,,,,
Le Gaulois,15.12.1868,4,39,452,623,4440,33,0,3,0,5840,43,0,0,0,6058,43,0,2,0,2210,12,0,11,0,,,,,,,,,,
Le Gaulois,16.12.1868,4,40,450,624,4426,26,0,2,0,5840,46,0,0,0,4933,42,0,3,0,1934,4,0,1,0,,,,,,,,,,
Le Gaulois,17.12.1868,4,76,450,624,4672,32,0,2,0,5385,63,0,0,0,5763,68,0,2,0,2930,23,0,9,0,,,,,,,,,,
Le Gaulois,18.12.1868,4,42,451,622,4221,48,0,2,0,5821,58,0,0,0,5846,54,0,1,0,2971,20,0,8,0,,,,,,,,,,
Le Gaulois,19.12.1868,4,39,456,623,4374,31,0,2,0,5550,55,0,0,0,4411,43,0,2,0,3687,20,1,8,0,,,,,,,,,,
Le Gaulois,20.12.1868,4,40,455,623,4349,33,0,2,0,5715,56,0,0,0,4925,39,0,8,0,3424,26,0,1,0,,,,,,,,,,
Le Gaulois,21.12.1868,4,39,452,625,4567,46,0,2,0,5791,59,0,0,1,6879,42,0,2,0,3984,31,1,8,0,,,,,,,,,,
Le Gaulois,22.12.1868,4,37,453,623,4880,43,0,3,0,5747,50,0,0,0,5319,34,1,8,0,3656,22,0,4,0,,,,,,,,,,
Le Gaulois,23.12.1868,4,41,450,625,4610,42,0,3,0,5672,51,0,0,0,4617,35,0,3,0,3224,21,0,8,0,,,,,,,,,,
Le Gaulois,24.12.1868,4,40,451,624,4654,40,0,2,0,5840,48,0,0,0,5093,38,1,8,0,4589,20,1,8,0,,,,,,,,,,
Le Gaulois,25.12.1868,4,45,452,624,4315,40,0,3,0,5481,51,0,0,0,4817,38,0,5,0,4446,21,1,8,1,,,,,,,,,,
